Reporte de drivers y modulos del kernel
Generado: 2026-05-16 11:13:22 -03
Equipo: javier-lcd
Kernel: 6.17.0-23-generic

=== MODULOS CARGADOS ===
Module                  Size  Used by
platform     | soc-audio                      | snd_soc_core              | (0) -
platform     | sram                           | builtin/no-visible        | (0) -
platform     | thinkpad_acpi                  | thinkpad_acpi             | (1) thinkpad_acpi
platform     | thinkpad_hwmon                 | thinkpad_acpi             | (1) thinkpad_hwmon
platform     | tpm_tis                        | builtin/no-visible        | (0) -
platform     | tps65086-restart               | builtin/no-visible        | (0) -
platform     | tps6586x-gpio                  | builtin/no-visible        | (0) -
platform     | tps65910-gpio                  | builtin/no-visible        | (0) -
platform     | tps68470_pmic_opregion         | builtin/no-visible        | (0) -
platform     | twl4030-audio                  | builtin/no-visible        | (0) -
platform     | uart-sccnxp                    | builtin/no-visible        | (0) -
platform     | ucsi_acpi                      | ucsi_acpi                 | (1) USBC000:00
platform     | virtio-mmio                    | builtin/no-visible        | (0) -
pnp          | i8042 aux                      | builtin/no-visible        | (1) 00:06
pnp          | i8042 kbd                      | builtin/no-visible        | (1) 00:05
pnp          | parport_pc                     | builtin/no-visible        | (0) -
pnp          | rtc_cmos                       | builtin/no-visible        | (1) 00:04
pnp          | serial                         | builtin/no-visible        | (0) -
pnp          | system                         | builtin/no-visible        | (8) 00:09 00:07 00:03 00:0a 00:01 00:08 00:02 00:00
pnp          | tpm_tis                        | builtin/no-visible        | (0) -
scsi         | sd                             | builtin/no-visible        | (0) -
scsi         | sr                             | builtin/no-visible        | (0) -
serial-base  | ctrl                           | builtin/no-visible        | (1) serial8250:0
